时间,收盘点位,市值(元),流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点,PE-TTM 50%分位点,PE-TTM 20%分位点
2021-07-21,6984.54,12581745080508.436,10503951985836,22.4266,0.0784,49.3937,32.403,26.1949
2021-07-20,6901.13,12443978355983.93,10390446712608,22.1811,0.0731,49.3937,32.4285,26.1988
2021-07-19,6889.34,12428893916834.371,10383602676442,22.1542,0.0725,49.3937,32.4341,26.2036
2021-07-16,6925.12,12484453275598.328,10437625289989,22.2795,0.0743,49.3937,32.4396,26.2129
2021-07-15,6932.41,12508927925991.592,10453238730644,22.3231,0.0754,49.4215,32.4401,26.2129
2021-07-14,6898.75,12452250961384.387,10394637866992,22.222,0.0732,49.4215,32.4405,26.2149
2021-07-13,6961.85,12558139585719.875,10486430481818,22.411,0.0769,49.4215,32.4504,26.2169
2021-07-12,6904.38,12443941409976.701,10381575265328,22.2072,0.0729,49.4215,32.4603,26.2339
2021-07-09,6804.54,12281750916950.06,10249057771952,21.9177,0.067,49.4215,32.4623,26.235
2021-07-08,6748.65,12194265441228.21,10170296136611,21.7616,0.061,49.4255,32.4643,26.235
2021-07-07,6764.13,12245532342626.291,10212298195478,21.8531,0.0639,49.4255,32.4644,26.2374
2021-07-06,6709.5,12155098258221.742,10139372192713,21.6917,0.0594,49.4255,32.4646,26.2387
2021-07-05,6711.01,12168595925140.879,10141741746081,21.7158,0.0597,49.4255,32.4699,26.2403
2021-07-02,6658.05,12089268265602.303,10076708476322,21.5742,0.0569,49.4255,32.4752,26.2598
2021-07-01,6716.67,12197050274913.264,10167292499535,21.7666,0.0603,49.4422,32.4775,26.2598
2021-06-30,6808.18,12348748764208.246,10287920793093,22.0373,0.0674,49.4422,32.4799,26.2602
2021-06-29,6765.42,12267844823027.453,10216578232598,21.8929,0.0651,49.4422,32.483,26.2608
2021-06-28,6828.52,12375640736400.299,10298749749339,22.0853,0.0686,49.4422,32.486,26.2666
2021-06-25,6813.41,12366167998806.78,10269262373506,22.0684,0.0675,49.4422,32.4965,26.2812
2021-06-24,6754.87,12247775581630.416,10177726100154,21.8571,0.0632,49.4517,32.507,26.2812
2021-06-23,6789.95,12319437393242.785,10223434648002,21.985,0.0658,49.4517,32.5094,26.2842
2021-06-22,6739.79,12231805167870.059,10149187860904,21.8286,0.0624,49.4517,32.5119,26.2853
2021-06-21,6707.18,12168465438557.861,10094132473140,21.7156,0.0593,49.4517,32.5164,26.2875
2021-06-18,6657.76,12069674028965.887,10010535952427,21.5393,0.0559,49.4517,32.5209,26.2921
2021-06-17,6616.17,11997021826326.932,9957626331889,21.4096,0.0542,49.4567,32.5293,26.2921
2021-06-16,6566.29,11905396982847.896,9884255335839,21.2461,0.0522,49.4567,32.5378,26.3065
2021-06-15,6663.66,12073154079926.4,10022160934830,21.5455,0.0553,49.4567,32.5393,26.3101
2021-06-11,6725.92,12139802694425.857,10203347009770,25.5611,0.1618,49.4567,32.5409,26.3213
2021-06-10,6765.64,12191270317901.45,10250213766382,25.6734,0.1684,49.4567,32.546,26.328
2021-06-09,6692.9,12070364964996.719,10155470797110,25.4187,0.1559,49.5129,32.551,26.328
2021-06-08,6684.56,12046125800990.26,10133604624173,25.3677,0.1537,49.5129,32.5553,26.3345
2021-06-07,6721.5,12121389614166.666,10192112384105,25.5262,0.16,49.5129,32.5595,26.3451
2021-06-04,6693.06,12069115187035.707,10144411249735,25.4161,0.1555,49.5129,32.567,26.3528
2021-06-03,6667.73,12043257523039.896,10116411457573,25.3617,0.1535,49.5129,32.5746,26.3558
2021-06-02,6681.43,12064979900610.43,10126209248075,25.4074,0.155,49.5346,32.5748,26.3558
2021-06-01,6739.76,12164326624222.676,10210359269008,25.6166,0.1633,49.5346,32.5751,26.3568
