时间,收盘点位,市值(元),流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点,PE-TTM 50%分位点,PE-TTM 20%分位点
2021-07-21,5078.7577,12790632662977.443,9253624720359,6.4828,0.0659,11.7021,8.9043,7.6375
2021-07-20,5079.3166,12869210162787.533,9306396710420,6.5226,0.0681,11.7021,8.9052,7.6387
2021-07-19,5096.5915,12963441060335.895,9380907548305,6.571,0.0688,11.7021,8.9055,7.6409
2021-07-16,5107.8824,13012248105366.639,9414800088729,6.5958,0.0694,11.7021,8.9058,7.6413
2021-07-15,5102.5826,13051521202281.41,9452043310672,6.6157,0.0698,11.7164,8.9059,7.6413
2021-07-14,5076.1542,12970542496154.043,9339320360078,6.5746,0.0688,11.7164,8.906,7.6435
2021-07-13,5110.6191,13134996342236.16,9456460941329,6.658,0.071,11.7164,8.9066,7.6446
2021-07-12,5077.1501,13135397207026.727,9450008632903,6.6582,0.0711,11.7164,8.9072,7.6468
2021-07-09,5041.7975,13250373996478.16,9524501156106,6.7165,0.073,11.7164,8.9074,7.6504
2021-07-08,4999.3961,13288571079698.254,9540923745313,6.7358,0.073,11.7192,8.9077,7.6504
2021-07-07,5097.0188,13514534474791.957,9704801324824,6.8504,0.0758,11.7192,8.9079,7.6556
2021-07-06,5093.2563,13552508316992.04,9729446875450,6.8696,0.0765,11.7192,8.908,7.656
2021-07-05,5102.9435,13555593705764.158,9733645859804,6.8712,0.0765,11.7192,8.909,7.6568
2021-07-02,5095.1268,13587063376486.91,9749907703006,6.8871,0.0794,11.7192,8.91,7.6592
2021-07-01,5129.8208,13780576342498.328,9899103668663,6.9852,0.0863,11.7204,8.912,7.6592
2021-06-30,5153.3965,13643546286391.906,9802864302814,6.9158,0.0816,11.7204,8.914,7.6629
2021-06-29,5136.9878,13606026747221.092,9781376770469,6.8967,0.0794,11.7204,8.9143,7.6708
2021-06-28,5143.8309,13731114730690.39,9879422628548,6.9601,0.0845,11.7204,8.9146,7.671
2021-06-25,5185.6348,13883128021716.73,9982004075870,7.0372,0.0895,11.7204,8.9153,7.6714
2021-06-24,5163.1286,13745467167674.238,9886446665484,6.9674,0.0849,11.7265,8.9161,7.6714
2021-06-23,5168.7381,13694055257637.15,9851897074503,6.9414,0.0839,11.7265,8.9161,7.6726
2021-06-22,5096.1971,13671970216425.457,9822365628417,6.9302,0.0827,11.7265,8.9161,7.6742
2021-06-21,5036.6107,13555740772190.48,9731377209421,6.8713,0.0768,11.7265,8.9165,7.6744
2021-06-18,5009.934,13659747696852.89,9808713708977,6.924,0.0821,11.7265,8.9169,7.675
2021-06-17,5029.8193,13755252440925.896,9877313699677,6.9724,0.0837,11.735,8.9192,7.675
2021-06-16,5038.7454,13909106753349.41,10003371198944,7.0504,0.0897,11.735,8.9216,7.676
2021-06-15,5105.4489,13897095226414.58,9999079025777,7.0443,0.0891,11.735,8.9218,7.6774
2021-06-11,5147.6327,14051581880098.203,10112645957061,7.1226,0.0996,11.735,8.9221,7.6796
2021-06-10,5169.6907,14074601755058.223,10124565370631,7.1343,0.1012,11.735,8.9225,7.68
2021-06-09,5157.3776,14114067347705.45,10153702136862,7.1543,0.1069,11.7351,8.923,7.68
2021-06-08,5142.3618,14098312298656.303,10134497769547,7.1463,0.1038,11.7351,8.9232,7.6864
2021-06-07,5170.731,14082341766023.418,10125444135495,7.1382,0.1019,11.7351,8.9235,7.6869
2021-06-04,5179.9914,14122054016759.22,10156074938024,7.1583,0.1073,11.7351,8.924,7.6891
2021-06-03,5205.2785,14108027342457.64,10148504207564,7.1512,0.1045,11.7351,8.9246,7.6891
2021-06-02,5209.298,14175584113886.139,10191332393255,7.1854,0.1124,11.7591,8.9263,7.6891
2021-06-01,5236.0795,14164109351704.994,10176027242649,7.1796,0.1109,11.7591,8.928,7.6911
2021-05-31,5204.7303,14214865825342.15,10216321086175,7.2054,0.1172,11.7591,8.9305,7.6918
2021-05-28,5160.2055,14286847556692.078,10252063690996,7.2418,0.1255,11.7591,8.9329,7.6918
2021-05-27,5152.8065,14261550585623.771,10241503673895,7.229,0.1217,11.7591,8.9333,7.6953
2021-05-26,5136.1392,14290485914236.04,10256074915551,7.2437,0.1262,11.7646,8.9337,7.6953
2021-05-25,5105.8706,14227241611123.389,10208301931012,7.2116,0.118,11.7646,8.9349,7.6959
2021-05-24,5042.4622,13927256223784.07,9990260412883,7.0596,0.0905,11.7646,8.9362,7.6961
2021-05-21,5009.7341,13933339392846.059,9994583256615,7.0627,0.0909,11.7646,8.938,7.6964
2021-05-20,4994.9079,14046199670305.64,10069095690432,7.1199,0.0988,11.7646,8.9399,7.6994
2021-05-19,5068.8477,14068042083552.072,10088121093271,7.1309,0.0998,11.7726,8.941,7.6994
2021-05-18,5070.8467,14205495690154.23,10195091244620,7.2006,0.1153,11.7726,8.942,7.6999
2021-05-17,5043.012,14191562255964.998,10181526431867,7.1935,0.1135,11.7726,8.9422,7.7
2021-05-14,5051.4249,14164451687880.043,10159993773717,7.1798,0.11,11.7726,8.9423,7.7005
2021-05-13,5016.7159,14037565645622.648,10064405894461,7.1155,0.098,11.7726,8.9425,7.7007
2021-05-12,5080.3761,14153103579305.982,10152684830524,7.174,0.1088,11.7793,8.9427,7.7007
2021-05-11,5033.7481,14084000869066.26,10112913104121,7.139,0.1009,11.7793,8.9434,7.7021
2021-05-10,5080.8989,14114963056947.387,10129128250984,7.1547,0.1048,11.7793,8.944,7.7042
2021-05-07,5037.8662,14079722955946.13,10119965466566,7.1369,0.1007,11.7793,8.9442,7.7053
2021-05-06,5029.4069,13948373399127.936,10045269915736,7.0703,0.0918,11.7793,8.9444,7.7066
2021-04-30,4956.5014,13864885838405.26,9974282481106,7.028,0.0877,11.7886,8.9453,7.7066
2021-04-29,4981.2588,14058928983146.77,10086046382822,7.2164,0.1141,11.7886,8.9462,7.7078
2021-04-28,4952.5541,13944547261555.047,9994408225582,7.3465,0.1463,11.7886,8.9465,7.7127
2021-04-27,4922.7051,13968862988593.086,10002144000473,7.3612,0.1489,11.7886,8.9467,7.7159
2021-04-26,4921.2913,14003340317190.76,10020408039049,7.4067,0.1565,11.7886,8.947,7.718
2021-04-23,4956.2111,14136580142659.273,10117984376096,7.5016,0.1668,11.8084,8.9473,7.718
2021-04-22,4971.0541,14177171822690.686,10143728641004,7.5228,0.1691,11.8084,8.9476,7.7227
2021-04-21,4950.1738,14234217144952.307,10182667505034,7.5534,0.1726,11.8084,8.9479,7.7235
2021-04-20,4955.3885,14251612848721.922,10193165204697,7.5629,0.1733,11.8084,8.9483,7.7246
2021-04-19,4958.2629,14318107928800.03,10226963559655,7.6006,0.1775,11.8084,8.9488,7.7247
2021-04-16,4928.3477,14218029914613.666,10141209860421,7.5644,0.1734,11.8143,8.9495,7.7247
2021-04-15,4869.2945,14139285286971.928,10074237464383,7.5233,0.1693,11.8143,8.9502,7.7247
2021-04-14,4864.066,14186621519181.89,10121111422367,7.5496,0.1719,11.8143,8.9521,7.7253
2021-04-13,4828.8053,14254690507944.139,10160314817109,7.5864,0.1742,11.8143,8.9541,7.7274
2021-04-12,4871.1468,14288293746647.96,10205565970051,7.6049,0.1771,11.8143,8.9541,7.7287
2021-04-09,4893.5398,14247435857640.184,10187585964942,7.583,0.174,11.8334,8.9541,7.7287
2021-04-08,4888.8475,14294617425577.45,10212091282718,7.6073,0.1773,11.8334,8.9566,7.729
2021-04-07,4899.5453,14324531833892.174,10239526491869,7.6238,0.1792,11.8334,8.959,7.7294
2021-04-06,4857.8954,14310535989674.42,10225618564584,7.6164,0.1787,11.8334,8.96,7.7299
2021-04-02,4836.8336,14307145610526.95,10238244721199,7.6139,0.1777,11.8334,8.9609,7.7312
2021-04-01,4865.1097,14441592934071.76,10321491108927,7.6891,0.1893,11.8663,8.9628,7.7312
2021-03-31,4827.1964,14465424549003.918,10327718420126,7.7021,0.1935,11.8663,8.9647,7.7317
2021-03-30,4841.7385,14442468877331.268,10324970469296,7.8232,0.2323,11.8663,8.9651,7.732
2021-03-29,4848.197,14372473642515.021,10276554224223,7.7856,0.219,11.8663,8.9655,7.732
2021-03-26,4794.539,14190677505787.328,10159289518792,7.9276,0.259,11.8663,8.9655,7.732
2021-03-25,4735.6196,14111698670494.146,10101527867114,7.9065,0.2546,11.8697,8.9656,7.7317
2021-03-24,4753.1943,14192340355746.055,10151797395686,7.9611,0.2679,11.8697,8.9663,7.7317
2021-03-23,4828.3428,14365091649106.76,10272453247738,8.058,0.2917,11.8697,8.9671,7.7317
2021-03-22,4898.5712,14473608873528.88,10350864399205,8.1189,0.3084,11.8697,8.9691,7.7317
2021-03-19,4832.374,14255342004642.27,10192028715684,8.0195,0.2848,11.8697,8.9712,7.7317
2021-03-18,4880.9697,14591589923465.49,10419972634979,8.2086,0.3314,11.886,8.9736,7.7312
2021-03-17,4863.2756,14609037485771.453,10425602817204,8.2184,0.3347,11.886,8.976,7.7312
2021-03-16,4886.4327,14781740637430.63,10545309551186,8.3156,0.3653,11.886,8.9784,7.7312
