时间,收盘点位,市值(元),流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点,PE-TTM 50%分位点,PE-TTM 20%分位点
2021-07-21,18672.4552,6852891072360.45,5080019956913,47.4916,0.8875,40.9666,35.2585,31.5931
2021-07-20,18529.4928,6763609775515.832,5020932143760,46.8729,0.8807,40.9189,35.2566,31.5931
2021-07-19,18443.0977,6753655646028.581,4998966744610,46.8039,0.8807,40.8871,35.2546,31.5931
2021-07-16,18281.7866,6621931130611.631,4899670964647,45.8911,0.8651,40.8764,35.2514,31.5931
2021-07-15,18533.9769,6748311026761.4,4967128889184,46.7669,0.8798,40.8764,35.2481,31.5791
2021-07-14,18610.1654,6723274233841.532,4949262069366,46.5934,0.8765,40.8757,35.2441,31.5791
2021-07-13,18474.9213,6658451071578.727,4914625226437,46.1441,0.8689,40.8755,35.24,31.5791
2021-07-12,18374.4713,6649195818156.192,4909862353107,46.08,0.8677,40.8594,35.2391,31.5791
2021-07-09,18037.6935,6476205880076.13,4793874577807,44.8812,0.8549,40.8277,35.2382,31.5791
2021-07-08,18032.4633,6494108301749.492,4801588802167,45.0052,0.8588,40.8277,35.2379,31.5752
2021-07-07,18395.7312,6631922886905.851,4897523624927,45.9603,0.8671,40.7877,35.2376,31.5752
2021-07-06,18181.5413,6479031222156.079,4793440724070,44.9007,0.8559,40.7379,35.2354,31.5752
2021-07-05,18688.7936,6729321747207.463,4962015333333,46.6353,0.8774,40.7349,35.2333,31.5752
2021-07-02,18736.9383,6747969586959.869,4998156761668,46.7645,0.8793,40.7183,35.2296,31.5752
2021-07-01,19321.5375,7062454040698.188,5215103107893,48.9439,0.9081,40.7183,35.226,31.5387
2021-06-30,19168.2711,6934228405662.473,5126916541776,48.0553,0.8964,40.6791,35.2244,31.5387
2021-06-29,19114.3564,6913390648807.26,5116486509360,47.9109,0.894,40.607,35.2228,31.5387
2021-06-28,19229.2121,6953290219545.142,5121750760938,48.1874,0.8984,40.5979,35.2221,31.5387
2021-06-25,18945.1696,6836492847990.149,5034870468098,47.378,0.8875,40.5126,35.2214,31.5387
2021-06-24,18635.4799,6685593641634.267,4932209851212,46.3322,0.873,40.5126,35.2194,31.5307
2021-06-23,18872.5117,6794009912687.57,5009151385394,47.0836,0.8842,40.341,35.2173,31.5307
2021-06-22,18879.4778,6799477473898.391,5012759308652,47.1215,0.8846,40.3173,35.2107,31.5307
2021-06-21,18712.4448,6656165099255.951,4905606587441,46.1283,0.8721,40.2798,35.2041,31.5307
2021-06-18,18470.0798,6595472430995.14,4868035008734,45.7077,0.87,40.1954,35.203,31.5307
2021-06-17,18326.3028,6531361592895.723,4825577790625,45.2634,0.8664,40.1954,35.2019,31.5303
2021-06-16,18231.3492,6481942527379.311,4779958187932,44.9209,0.8615,40.1845,35.1994,31.5303
2021-06-15,18650.9137,6682857651586.027,4922710615046,46.3133,0.8731,40.1802,35.1969,31.5303
2021-06-11,18941.8754,6444745767689.681,4931093332860,44.4334,0.8526,40.1708,35.1934,31.5303
2021-06-10,19126.5506,6491616477861.55,4972470519920,44.7566,0.8589,40.1035,35.1899,31.5303
2021-06-09,19041.8888,6408960731578.179,4910884195739,44.1867,0.85,40.1035,35.1894,31.5117
2021-06-08,19087.4777,6405847311366.7705,4903536996759,44.1652,0.85,40.0288,35.1889,31.5117
2021-06-07,19359.4809,6494733494556.46,4973124481555,44.7781,0.8596,39.982,35.1867,31.5117
2021-06-04,19241.3947,6470196381765.561,4953939251635,44.6089,0.8563,39.8346,35.1846,31.5117
2021-06-03,19112.388,6422046508030.539,4919404664339,44.2769,0.8518,39.827,35.1833,31.5117
